t,x,y,yaw
0.0,-6.0004,-1.0,3.1416
0.017,-6.0004,-1.0,3.1416
0.033,-6.0004,-1.0,3.1416
0.05,-6.0005,-1.0,3.1416
0.067,-6.0005,-1.0,3.1411
0.083,-6.0005,-1.0,3.1399
0.1,-6.0005,-1.0,3.138
0.117,-6.0005,-1.0,3.1354
0.133,-6.0005,-1.0,3.1321
0.15,-6.0006,-1.0,3.1281
0.167,-6.0006,-1.0,3.1234
0.183,-6.0006,-1.0,3.118
0.2,-6.0006,-1.0,3.1118
0.217,-6.0006,-1.0,3.1049
0.233,-6.0006,-1.0,3.0973
0.25,-6.0006,-1.0,3.089
0.267,-6.0007,-1.0,3.08
0.283,-6.0007,-1.0,3.0703
0.3,-6.0007,-1.0,3.0599
0.317,-6.0007,-1.0,3.0487
0.333,-6.0007,-1.0,3.0368
0.35,-6.0007,-1.0,3.0242
0.367,-6.0007,-1.0,3.0108
0.383,-6.0008,-1.0,2.9967
0.4,-6.0008,-1.0,2.9819
0.417,-6.0008,-1.0,2.9663
0.433,-6.0008,-1.0,2.9502
0.45,-6.0008,-1.0,2.9339
0.467,-6.0008,-1.0,2.9175
0.483,-6.0009,-0.9999,2.901
0.5,-6.0009,-0.9999,2.8844
0.517,-6.0009,-0.9999,2.8679
0.533,-6.0009,-0.9999,2.8513
0.55,-6.0008,-0.9999,2.8347
0.567,-6.0008,-1.0,2.8181
0.583,-6.0007,-1.0,2.8014
0.6,-6.0007,-1.0,2.7848
0.617,-6.0006,-1.0,2.7682
0.633,-6.0006,-1.0,2.7516
0.65,-6.0005,-1.0,2.735
0.667,-6.0005,-1.0001,2.7185
0.683,-6.0004,-1.0001,2.7019
0.7,-6.0004,-1.0001,2.6853
0.717,-6.0003,-1.0001,2.6687
0.733,-6.0003,-1.0001,2.6521
0.75,-6.0002,-1.0002,2.6355
0.767,-6.0002,-1.0002,2.6189
0.783,-6.0001,-1.0002,2.6024
0.8,-6.0001,-1.0002,2.5858
0.817,-6.0,-1.0003,2.5692
0.833,-6.0,-1.0003,2.5526
0.85,-5.9999,-1.0003,2.5361
0.867,-5.9999,-1.0003,2.5195
0.883,-5.9998,-1.0004,2.5029
0.9,-5.9998,-1.0004,2.4863
0.917,-5.9997,-1.0004,2.4698
0.933,-5.9997,-1.0005,2.4532
0.95,-5.9997,-1.0005,2.4366
0.967,-5.9996,-1.0005,2.42
0.983,-5.9996,-1.0006,2.4035
1.0,-5.9995,-1.0006,2.3869
1.017,-5.9995,-1.0006,2.3703
1.033,-5.9994,-1.0007,2.3537
1.05,-5.9994,-1.0007,2.3372
1.067,-5.9994,-1.0007,2.3206
1.083,-5.9993,-1.0008,2.304
1.1,-5.9993,-1.0008,2.2874
1.117,-5.9992,-1.0009,2.2709
1.133,-5.9992,-1.0009,2.2543
1.15,-5.9992,-1.0009,2.2377
1.167,-5.9991,-1.001,2.2211
1.183,-5.9991,-1.001,2.2046
1.2,-5.9991,-1.0011,2.188
1.217,-5.999,-1.0011,2.1714
1.233,-5.999,-1.0012,2.1549
1.25,-5.9989,-1.0012,2.1383
1.267,-5.9989,-1.0012,2.1217
1.283,-5.9989,-1.0013,2.1051
1.3,-5.9989,-1.0013,2.0886
1.317,-5.9988,-1.0014,2.072
1.333,-5.9988,-1.0014,2.0554
1.35,-5.9988,-1.0015,2.0388
1.367,-5.9987,-1.0015,2.0223
1.383,-5.9987,-1.0016,2.0059
1.4,-5.9987,-1.0016,1.99
1.417,-5.9987,-1.0017,1.9746
1.433,-5.9987,-1.0017,1.9596
1.45,-5.9986,-1.0017,1.9453
1.467,-5.9986,-1.0018,1.9314
1.483,-5.9986,-1.0018,1.9181
1.5,-5.9986,-1.0019,1.9052
1.517,-5.9986,-1.0019,1.8929
1.533,-5.9986,-1.0019,1.881
1.55,-5.9986,-1.002,1.8695
1.567,-5.9986,-1.002,1.8585
1.583,-5.9986,-1.002,1.8479
1.6,-5.9987,-1.0016,1.8377
1.617,-5.9989,-1.0007,1.828
1.633,-5.9993,-0.9993,1.8186
1.65,-5.9998,-0.9973,1.8096
1.667,-6.0004,-0.9947,1.8009
1.683,-6.0011,-0.9916,1.7925
1.7,-6.0019,-0.988,1.7844
1.717,-6.0028,-0.9838,1.7766
1.733,-6.0037,-0.979,1.7691
1.75,-6.0048,-0.9737,1.7618
1.767,-6.0059,-0.9678,1.7548
1.783,-6.007,-0.9614,1.7481
1.8,-6.0083,-0.9544,1.7415
1.817,-6.0095,-0.9468,1.7352
1.833,-6.0109,-0.9387,1.7292
